period,period_dot,class
8.020392,1.88E-11,ANOMALOUS X-RAY PULSAR
8.047,6.5E-11,ANOMALOUS X-RAY PULSAR
6.4520766,3.809E-11,ANOMALOUS X-RAY PULSAR
2.06983302,2.318E-11,ANOMALOUS X-RAY PULSAR
4.327020261,2.7761E-12,ANOMALOUS X-RAY PULSAR
2.594578,,ANOMALOUS X-RAY PULSAR
10.61065628,8.3E-13,ANOMALOUS X-RAY PULSAR
11.0062624,1.96E-11,ANOMALOUS X-RAY PULSAR
3.824936,5.88E-11,ANOMALOUS X-RAY PULSAR
3.76373308,1.756E-11,ANOMALOUS X-RAY PULSAR
7.55592,5.49E-10,ANOMALOUS X-RAY PULSAR
5.540742829,2.8281E-12,ANOMALOUS X-RAY PULSAR
1.363492,4.183E-11,ANOMALOUS X-RAY PULSAR
8.43772106,2.1E-14,ANOMALOUS X-RAY PULSAR
2.4823018,7.96E-12,ANOMALOUS X-RAY PULSAR
7.5654084,3.4E-12,ANOMALOUS X-RAY PULSAR
11.7889784,4.092E-11,ANOMALOUS X-RAY PULSAR
11.55871346,0,ANOMALOUS X-RAY PULSAR
5.198346,9.2E-11,ANOMALOUS X-RAY PULSAR
3.24498,,ANOMALOUS X-RAY PULSAR
5.76209653,5.82E-12,ANOMALOUS X-RAY PULSAR
9.07838822,4.1E-15,ANOMALOUS X-RAY PULSAR
6.97907097,4.7123E-13,ANOMALOUS X-RAY PULSAR
8.6889941,1.99E-12,ANOMALOUS X-RAY PULSAR